name,code,latitude,longitude
Вышневолоцкий район,28212,57.513619,34.293375
Игринский район,94218,57.510796,53.066844
Тарский район,52254,57.509771,74.632788
Палкинский район,58237,57.509316,27.989312
Немский район,33226,57.504399,50.56844
Варнавинский район,22215,57.500893,44.893414
Фировский район,28257,57.495752,33.677391
Уренский район,22254,57.48302,45.810738
Байкаловский район,65208,57.477175,63.68511
Кировградский,654531,57.461236,59.889601999999996
Спировский район,28252,57.459687,35.183731
Тегульдетский,69252,57.456153,88.223553
Угличский район,78246,57.446259,38.349385
Нерехтский район,34226,57.444177,40.746719
Волгоречинск,34406,57.439464,41.157456
Невьянский,652271,57.436019,60.468449
Кунгурский район,85962,57.404153,56.56041
Пижанский район,33231,57.403639,48.521512
Режевской,652361,57.399473,61.238881
Верхний Тагил,6545351,57.371768,59.934132
Лебяжский район,33221,57.370506,49.514043
Тасеевский район,4252,57.360255,94.864744
Селтинский район,94239,57.350801,51.978606
Кашинский район,28224,57.348971,37.439957
Тонкинский район,22252,57.348097,46.332479
Маревский район,49223,57.344852,32.122632
Кикнурский район,33216,57.343444,47.125656
Приволжский район,24220,57.339991,41.397288
Кишертский район,85953,57.339738,57.602509
Артемовский,652021,57.338402,61.894651
Шарканский район,94246,57.336275,53.840077
Гаврилов-Ямский район,78212,57.336017,39.89066
Асиновский,69208,57.335308,85.511333
Шалинский,652571,57.332325,58.58824
Борисоглебский район,78206,57.33027,38.988536
Вичугский район,24201,57.319871,41.751296
Кинешемский район,24211,57.28587,42.387698
Осинский район,85977,57.277779,55.695575
Лихославльский район,28238,57.276913,35.563018
Частинский район,86004,57.271234,54.777999
Бирилюсский район,4206,57.253093,90.642132
Кривошеински,69236,57.252985,84.016635
Юрьевецкий район,24237,57.251135,42.955595
Рамешковский район,28247,57.2504,36.27257
Фурмановский район,24231,57.246626,41.041896
Островский район,58233,57.231751,28.610965
Яранский район,33250,57.231469,47.933457
Сокольский район,22259,57.21068,43.367248
Осташковский район,28245,57.201505,33.093279
Ковернинский район,22234,57.201125,43.988397
Знаменский район,52212,57.199301,73.610964
Новоуральский,655401,57.172669,59.996753
Сюмский район,94241,57.166686,51.480787
Краснобаковский район,22235,57.155338,45.25504
Якшур-Бодьинский район,94250,57.153458,52.998904
Тюмень,71401,57.153033,65.534328
Бежаницкий район,58204,57.145085,30.017744
Новоржевский район,58223,57.133163,29.331288
Ординский район,85974,57.12668,56.740055
Комсомольский район,24213,57.114283,40.384913
Холмский район,49247,57.114205,31.185949
Шарангский район,22256,57.103354,46.460723
Ростовский район,78237,57.099228,39.353468
Родниковский район,24223,57.085775,41.724481
Калязинский район,28222,57.085711,37.986358
Суксунский район,85995,57.080018,57.502599
Ивановский район,24207,57.07969,40.802873
Сернурский район,88248,57.074827,49.074066
Уржумский район,33241,57.067385,50.087886
Пыталовский район,58253,57.057235,27.949957
Тугулымский р-н,652501,57.054102,64.58992
Воткинск,94410,57.051806,53.987392
Асбестовский,654091,57.050357,61.49393
Кувшиновский район,28234,57.047625,34.135972
Новоторьяльский район,88236,57.034971,48.629579
Большемуртинский район,4210,57.026463,93.018365
Санчурский район,33233,57.017321,47.212155
Кильмезский район,33217,57.016493,50.974946
Лухский район,24215,57.015591,42.419993
Седельниковский район,52252,57.0149,75.573738
Бакчарский,69212,57.01341,81.475678
Пушкиногорский район,58251,57.00549,28.793627999999998
Кимрский район,28228,57.00101,37.125314
Иваново,24401,57.000348,40.973921
Тюхтетский район,4255,56.996362,89.29227
Среднеуральск,6542051,56.991837,60.477136
Увинский район,94244,56.983137,52.187465
Юргинский район,712531,56.97287,67.712482
Пучежский район,24221,56.972203,42.98859
Верхняя Пышма,654201,56.966958,60.579194
Пеновский район,28246,56.952088,32.484725
Усть-Кутский район,25244,56.95037,105.911255
Абанский район,4201,56.9501,96.538377
Ильинский район,24209,56.949029,39.817385
Торжокский район,28254,56.943059,34.880846
Большеуковский район,52206,56.939357,72.307984
Еловский район,85944,56.933484,54.882932
Кохма,24207504,56.932531,41.093208
Тюменский район,71244,56.928725,65.673585
Аромашевский район,712071,56.927605,68.963817
Камышловский р-н,652231,56.926966,62.705991
Талицкий,652491,56.921887,63.781319
Викуловский район,712151,56.917347,70.77792
Березовский,654121,56.910173,60.798203
Первоуральск,654801,56.905839,59.943249
Сухой Лог,652401,56.905431,62.035542
Воткинский район,94208,56.90458,53.92495
Озёрский,46242,56.898731,37.768822
Бардымский район,85929,56.893019,55.660432
Семеновский район,22247,56.890236,44.560804
Уинский район,85998,56.875497,56.482346
Оршанский район,88240,56.873052,47.993931
Нижнеилимский район,25226,56.864571,103.759332
Тверь,28401,56.859611,35.911896
Ижевск,94401,56.852593,53.204843
Ачитский,652041,56.845249,58.154659
Екатеринбург,654011,56.838011,60.597465
Верхне-Ландеховский район,24202,56.836564,42.554632
Дзержинский район,4213,56.829675,95.140455
Воскресенский район,22222,56.823503,45.547693
Ялуторовский район,712563,56.819577,66.3847
Переславский район,78232,56.818986,38.727351
Палехский район,24217,56.815611,41.958474
Заречный,654261,56.814887,61.320636
Красногородский район,58214,56.800528,28.242727
Ревда,654841,56.800079,59.908718
Локнянский район,58218,56.793864,30.325633
Пышминский р-н,652331,56.783658,63.249211
Богданович,652101,56.776502,62.046295
Кыштовский район,50234,56.773987,77.034012
Куженерский район,88220,56.767885,48.991133
Шегарский,69258,56.766642,83.746835
Чунский район,25250,56.765064,99.702307
Зырянский,69220,56.764659,87.038109
Вавожский район,94206,56.763549,51.802132
Селижаровский район,28250,56.759849,33.444305
Шуйский район,24233,56.75601,41.437443
Дубна,46418,56.744002,37.173176
Лежневский район,24214,56.740833,40.89424
Тейковский район,24229,56.736651,40.448343
Переславль-Зелесский,78405,56.736093,38.85431
Сорокинский район,712381,56.735911,69.803113
Параньгинский район,88244,56.723279,49.446516
Советский район,88252,56.720508,48.454057
